Filename,t1,t1_error,A,A_error,Fixed_y0,R_squared,Iterations,Time_min
ZE15_1000_Ag_dis.csv,136.290426649038,2.07855256764635,0.0223788550346254,1693.79118508217,0,0.8800121130725609,6.0,0.7894736842105263
ZE15_1000_dis.csv,654.892029526551,17.6706862641514,0.0187592233916169,696.589214048712,0,0.7273226624507029,8.0,15.0
ZE15_250_Ag_dis.csv,465.386169366316,12.344224221733,0.0156433650046919,-1.23456789e-300,0,0.7028332340903063,7.0,0.0
ZE15_500_Ag_dis.csv,483.015470217567,14.8604763111788,0.0211835172902972,1307.8015054386,0,0.6337471931543935,5.0,0.0
ZE16_1000_Ag_dis.csv,652.112482784381,17.1348024989192,0.0341500965954347,-1.23456789e-300,0,0.7044286981701796,6.0,0.0
ZE16_1000_dis.csv,809.054526365382,22.9292082479322,0.0175149757280924,707.759023077408,0,0.6743964478515374,9.0,0.0
ZE16_250_Ag_dis.csv,0.0815055314023949,-1.23456789e-300,1.09567990401463e-05,-1.23456789e-300,0,0.0,0.0,0.0
ZE16_500_Ag_dis.csv,1198.73503513257,68.3076690729752,0.0192557807561903,614.745349036458,0,0.3361119092202778,7.0,0.0
ZE17_1000_Ag_dis.csv,1017.26269765628,0.0,0.0293559756688708,-1.23456789e-300,0,0.7035445956367868,8.0,0.0
ZE17_1000_dis.csv,711.04898362323,13.5075630647276,0.0415819090816466,-1.23456789e-300,0,0.8220751963027884,6.0,0.0
ZE17_250_Ag_dis.csv,684.565844199431,17.7224021695467,0.012981666935051,-1.23456789e-300,0,0.7118774013972115,9.0,0.0
ZE17_500_Ag_dis.csv,889.134571199624,27.0351978686399,0.0314659092763167,-1.23456789e-300,0,0.6462848147184144,7.0,2.3684210526315788
ZE18_1000_Ag_dis.csv,641.018293844936,21.9083073702738,0.0382486829155765,-1.23456789e-300,0,0.5896202582083436,7.0,3.1578947368421053
ZE18_1000_dis.csv,408.007790066547,6.3014836008181,0.0285772681351091,1583.31947359988,0,0.8751429647528925,6.0,0.7894736842105263
ZE18_250_Ag_dis.csv,9147792810950750.0,-1.23456789e-300,0.0424012509266141,324.73247647955,0,1.2951861805277076e-12,20.0,7.105263157894737
ZE18_500_Ag_dis.csv,975.160714241136,51.1074901312826,0.041375213855044,2315.12090419014,0,0.37349900396251534,6.0,0.0
ZE19_1000_Ag_dis.csv,415.50347659256,5.36653096109692,0.0574003461952275,-1.23456789e-300,0,0.9149844083530915,6.0,8.68421052631579
ZE19_1000_dis.csv,343.188244783366,4.95022007641641,0.0471142540976936,2023.96536421346,0,0.8882008600889391,6.0,0.0
ZE19_250_Ag_dis.csv,328.357557772047,6.78324329219033,0.026156963509378,1526.56764606261,0,0.7984631113622989,6.0,3.1578947368421053
ZE19_500_Ag_dis.csv,322.137758288003,5.466816290427,0.0383292700495802,2074.02527085476,0,0.8535372736472396,6.0,2.3684210526315788
ZE20_1000_Ag_dis.csv,318.945928662115,4.21843459262602,0.0528031016877955,-1.23456789e-300,0,0.9122452695765971,6.0,10.263157894736842
ZE20_1000_dis.csv,240.68740176637,3.27833955244257,0.0435226976096908,4487.56768336329,0,0.9061234039245135,6.0,8.68421052631579
ZE20_250_Ag_dis.csv,324.292906798823,4.92542992755303,0.0368740111295083,1422.91389663027,0,0.8844253037878759,6.0,7.105263157894737
ZE20_500_Ag_dis.csv,327.699578049285,4.68786046510862,0.0406651284467988,-1.23456789e-300,0,0.9032141795881152,5.0,15.0
ZE21_1000_Ag_dis.csv,190.377894894552,3.00258191065447,0.0383385731623179,3188.50637094229,0,0.8737706162950298,6.0,4.7368421052631575
ZE21_1000_dis.csv,108.092696119312,1.32761661971588,0.0247499993166163,-1.23456789e-300,0,0.9230843471374596,6.0,3.1578947368421053
ZE21_250_Ag_dis.csv,227.327219994064,3.82103299240262,0.0256605714793012,-1.23456789e-300,0,0.8612677344025872,7.0,6.315789473684211
ZE21_500_Ag_dis.csv,320.683288990481,6.37620946535469,0.0291250383846426,5231.92297300462,0,0.8116497552695626,6.0,3.947368421052632
ZE22_1000_Ag_dis.csv,455.357731213164,6.41803346231841,0.0337810378678307,554.602278836131,0,0.903852913843766,6.0,12.631578947368421
ZE22_1000_dis.csv,471.811338097027,8.0617226227681,0.0442761749327043,1696.12997030543,0,0.862257292669232,6.0,11.052631578947368
ZE22_250_Ag_dis.csv,1715180118655.48,6.33759379099555e+19,0.0547722568557277,15958.5083000245,0,0.0,29.0,0.0
ZE22_500_Ag_dis.csv,437.919844323892,8.24052394422725,0.0355335207190854,1068.29253336915,0,0.8274576013934336,6.0,3.1578947368421053
ZE23_1000_Ag_dis.csv,819.059525442662,23.0474513012732,0.0181534016162285,853.327844938479,0,0.6753626548398292,39.0,0.0
ZE23_1000_dis.csv,470.368466357352,7.02098314463135,0.041576452492652,927.198969695235,0,0.8819584204651603,5.0,0.0
ZE23_250_Ag_dis.csv,1094.52242925856,40.1137100932501,0.0282478581318004,658.328988439955,0,0.5523388653118936,7.0,0.0
ZE23_500_Ag_dis.csv,607.80346295557,15.1644046583809,0.0285999222834458,-1.23456789e-300,0,0.7303280926129098,7.0,2.3684210526315788
ZE24_1000_Ag_dis.csv,27107320163.2524,3.1658470222704e+16,0.0459705886920669,-1.23456789e-300,0,0.0,19.0,0.0
ZE24_1000_dis.csv,2021.56533544153,150.749121366852,0.0162883520805397,-1.23456789e-300,0,0.23127522347131615,10.0,0.7894736842105263
ZE24_250_Ag_dis.csv,1076307067.59758,70236800871799.3,0.0417776177608692,-1.23456789e-300,0,0.0,22.0,0.0
ZE24_500_Ag_dis.csv,9518.86697349773,4937.16276544428,0.041277305323984,-1.23456789e-300,0,0.006026398605808004,17.0,0.0
ZE25_1000_Ag_dis.csv,170764390860986.0,-1.23456789e-300,0.0493113008710648,3303.86087106691,0,0.0,32.0,0.0
ZE25_1000_dis.csv,3.85369265171991,402.095297145845,0.0223149065103216,19834768.3135691,0,0.0,6.0,0.0
ZE25_250_Ag_dis.csv,33850850323.2998,8.23015849851349e+16,0.0329946873706402,-1.23456789e-300,0,0.0,186.0,0.0
ZE25_500_Ag_dis.csv,13825136346.7176,2.03246861604441e+16,0.0201963576861869,1369.26119419684,0,0.0,181.0,0.0
ZE26_1000_Ag_dis.csv,31087360520.3807,0.0,0.0423661636548362,-1.23456789e-300,0,0.0,222.0,0.0
ZE26_1000_dis.csv,1175.0148815285,116.621426619762,0.01950030548278,-1.23456789e-300,0,0.1400416117147809,7.0,0.0
